Short Link,Video Title
https://www.youtube.com/shorts/vQKxAWJp0vQ,Le monde des très riches #yomidenzel #mindset #argent
https://www.youtube.com/shorts/QagOcWOV68c,« Il faut faire avant tout ce qu’on aime. » #yomidenzel #école #entrepreneur
https://www.youtube.com/shorts/y3cVcOGMBPw,Les profs ont un énorme impact sur notre vie #yomidenzel #école #etatdesprit
https://www.youtube.com/shorts/ogp46EyX2oE,Les différents types de personnalités et l’argent #yomidenzel #argent #monde
https://www.youtube.com/shorts/al15Q-gNR1I,Cette incroyable technique pour résoudre les embrouilles #yomidenzel #devperso #mentalité
https://www.youtube.com/shorts/9QWS78XTjPg,« Juger quelqu’un à l’aune de ta réussite » #yomidenzel #entrepreneur #business
https://www.youtube.com/shorts/bfpTiWUisBc,Ma technique pour avoir des bonnes notes à Harvard #yomidenzel #harvard #école
https://www.youtube.com/shorts/kIjfxMviLVM,Un de mes objectifs #yomidenzel #objectif #business
https://www.youtube.com/shorts/JQhsV8x6YpQ,Mon meilleur investissement #yomidenzel #argent #cryptomonnaies
https://www.youtube.com/shorts/Wa0NvVJKCdU,L’important est le chemin pour y parvenir #yomidenzel #entrepreneur #mentalité
https://www.youtube.com/shorts/Xzddp6IIYoA,Les femmes subissent le patriarcat ? #yomidenzel #société #relationshommesfemmes
https://www.youtube.com/shorts/wN--28JNcKY,Ma routine #yomidenzel #habitudes #mentalité ￼
https://www.youtube.com/shorts/ykiXnnpugbI,L’éducation des enfants #yomidenzel #enfants #education #société
https://www.youtube.com/shorts/iZY-PexRquk,Le soutien est essentiel à la réussite ￼#yomidenzel #entrepreneur #famille
https://www.youtube.com/shorts/JVE1CChquVs,Il est important d’apprendre #yomidenzel #apprentissage #podcast
https://www.youtube.com/shorts/7QEz7Ds6FCo,Lorsque j’ai rejoint les forces spéciales #yomidenzel #armée #mental
https://www.youtube.com/shorts/fJUyPMZJFxo,Tu as une idée ? Lance-toi #yomidenzel #business #entrepreneur
https://www.youtube.com/shorts/FGfYdhTDPs0,La Sprezzatura #yomidenzel #sprezzatura #italie
https://www.youtube.com/shorts/lc1LEaN2L8A,Les KPIs dans la vie personnelle #yomidenzel #kpi #entrepreneur
https://www.youtube.com/shorts/Bdt43tle-0s,Le deliberate practice #yomidenzel #mindset #football all
https://www.youtube.com/shorts/In0wPlT-FJk,Le problème des business de services #yomidenzel #business #scaling
https://www.youtube.com/shorts/MfY5TCInyDc,Faire face aux doutes quand on se lance #yomidenzel #réussite #business
https://www.youtube.com/shorts/O4obBfzPU4A,« Les problèmes on les résout » #yomidenzel #podcast #mindset
https://www.youtube.com/shorts/oyMDzrvPm4Y,Le sommeil est le meilleur médicament #yomidenzel #sommeil #devperso
https://www.youtube.com/shorts/taTYWaPFsf8,Ma nouvelle montre incroyable #yomidenzel #montre #investissement
https://www.youtube.com/shorts/6cMDDbf1_m8,Je suis à 105% #yomidenzel #entrepreneur #mentalité
https://www.youtube.com/shorts/9Y_xcuBBgRQ,Le genre de personne qui m’énerve #yomidenzel #podcast #mentalité
https://www.youtube.com/shorts/f6vmV2sE228,C'est toi qui écris ton futur #yomidenzel #entrepreneur #école
https://www.youtube.com/shorts/KyWnmYK5FBI,Avoir une copine qui ne te soutient pas #yomidenzel #relations #soutien
https://www.youtube.com/shorts/iSc26mQUqQc,"L’optimisation, l’ennemi du scaling #yomidenzel #scaling #entrepreneur"
https://www.youtube.com/shorts/mSvv3pxQzeY,Les actions qui définissent un grand homme #yomidenzel #podcast #sacrifices
https://www.youtube.com/shorts/5nTwbCZa4GU,Toutes mes habitudes #yomidenzel #habitudes #entrepreneur
https://www.youtube.com/shorts/m1VhBYVEFw4,Je travaille par automatisme #yomidenzel #travail #business
https://www.youtube.com/shorts/9719ZOgoSkA,L’ampleur qu’a pris IAD #yomidenzel #IAD #business
https://www.youtube.com/shorts/Gf0l-xxWdU4,Tu veux devenir riche ? Alors travaille #yomidenzel #argent # réussite
https://www.youtube.com/shorts/AxTUSQCVmt8,Combien j’ai sur mon compte en banque #yomidenzel #argent #banque
https://www.youtube.com/shorts/zcGvZiQUrSo,Est-ce que créer un business veut dire voler l’argent des autres ? #yomidenzel #business #argent
https://www.youtube.com/shorts/DE5A22X5PiE,L’attention des gens sur leur téléphone #yomidenzel #business #entrepreneur
https://www.youtube.com/shorts/W93VsnkTH_U,4000€/mois à 22 ans avec l’immobilier #yomidenzel #jonathananguelov #immobilier #business
https://www.youtube.com/shorts/xyCuBuNLD7g,Les plus grosses offres que j’ai refusées #yomidenzel #argent #business
https://www.youtube.com/shorts/AhZaq2vZoiw,Ce que je pense des impôts en France #yomidenzel #impôts #mentalité #entrepreneur
https://www.youtube.com/shorts/_FU94WwnsSU,Mon plus grand regret #yomidenzel #mentalité #regret
https://www.youtube.com/shorts/tGEVWftQuUI,Nous sommes soit manuel soit intellectuel #yomidenzel #thibaultgarcia #podcast
https://www.youtube.com/shorts/FLaHyq3mUdM,Ce que je dirais aux gens qui n’ont pas cru en moi #yomidenzel #réussite #millionaire
https://www.youtube.com/shorts/oi1KINFR2XI,Si on me proposait 100 Millions d’€ #yomidenzel #argent #entrepreneur
https://www.youtube.com/shorts/6ojo7VEThFg,Travailler en Suisse #yomidenzel #travail #argent
https://www.youtube.com/shorts/6QSEZnPpsHM,Si je pouvais rencontrer Elon Musk #yomidenzel #elonmusk #podcast
https://www.youtube.com/shorts/umEX85y2-iI,J’ai déjà eu le cœur brisé #yomidenzel #amour #sentiment #podcast
https://www.youtube.com/shorts/4Q--4Aq6OwA,J’adore surprendre les gens #yomidenzel #surprise #motivation
https://www.youtube.com/shorts/K7WYSyYYjik,Ces paroles de chanson qui me font sens #yomidenzel #musique #réussite
https://www.youtube.com/shorts/-vMjz1hhwrA,J’ai une très grande famille #yomidenzel #famille #podcast
https://www.youtube.com/shorts/riwlN51Ae0E,Avoir une morning routine est essentiel #yomidenzel #entrepreneur #mentalité
https://www.youtube.com/shorts/it1YcUbVOhc,Quand j’essayais d’avoir des pouvoirs #yomidenzel #pouvoirs #podcast
https://www.youtube.com/shorts/nttnhN5UxiI,Argent et séparation #yomidenzel #argent #relations
https://www.youtube.com/shorts/W3ImkSmItxQ,Ma plus grosse dépense #yomidenzel #argent #business
